,대여소_ID,주소1,주소2,위도,경도,동코드
637,ST-421,서울특별시 영등포구 양평로 76,삼성화재 사옥 옆,37.535961,126.8983,11560620
638,ST-420,서울특별시 영등포구 영등포로 177,영등포청과시장 사거리,37.520294,126.901192,11560535
639,ST-42,서울특별시 서대문구 연세로 50,27,37.562382,126.932648,11410615
640,ST-419,서울특별시 영등포구 영등포로 124,영등포유통상가 사거리,37.521133,126.896538,11560550
641,ST-418,서울특별시 영등포구 영등포로 96,교보생명보험 앞,37.521931,126.891617,11560550
642,ST-417,서울특별시 영등포구 선유로 34,근로자회관 사거리,37.517151,126.888626,11560605
643,ST-416,서울특별시 영등포구 문래로 56,영문초등학교 사거리,37.519928,126.889183,11560605
644,ST-415,서울특별시 영등포구 선유로 82,KB국민은행 문래동지점 앞,37.521200604824,126.890050335858,11560610
645,ST-414,서울특별시 영등포구 여의서로 60-2 가로판매대22,,37.533657,126.912163,11560540
646,ST-413,서울특별시 영등포구 당산로 111-2,영등포구청역 1번출구,37.524635,126.896217,11560550
647,ST-412,서울특별시 동대문구 망우로 126,매봉주유소 중랑교지점,37.59122583738172,127.06703521379126,11230730
648,ST-411,서울특별시 동대문구 한천로 42,이마트 장안점,37.5663753673336,127.062390264066,11230650
649,ST-410,서울특별시 동대문구 장안동 473-6,,37.566971,127.074295,11230650
650,ST-41,서울특별시 서대문구 연세로 50-1,89-4,37.560009,126.940735,11410585
651,ST-409,서울특별시 동대문구 천호대로 231,,37.570354,127.048431,11230600
652,ST-408,서울특별시 동대문구 청계천로 563,용두역 4번출구,37.573753,127.038536,11230536
653,ST-407,서울특별시 동대문구 홍릉로 26-1 거리가게,,37.58255,127.044601,11230705
654,ST-406,서울특별시 동대문구 한천로43길 12-14,서울시립대 후문,37.585197,127.060951,11230570
655,ST-405,서울특별시 동대문구 한천로43길 12-14,서울시립대 정보기술관,37.583008,127.060974,11230570
656,ST-404,서울특별시 동대문구 회기로 85,KAIST 경영대학 앞,37.591614,127.045792,11230705
657,ST-403,서울특별시 동대문구 회기로 56,세종대왕기념관 교차로,37.5909,127.042587,11230705
658,ST-402,서울특별시 동대문구 이문로1길 11,시조사 앞 (청량고정문 옆),37.587517,127.052773,11230705
659,ST-401,서울특별시 동대문구 이문로 107,외국어대 정문 앞,37.59602,127.05983,11230740
660,ST-400,서울특별시 동대문구 홍릉로 1,청량리 기업은행 앞,37.580406,127.044823,11230705
661,ST-40,서울특별시 서대문구 증가로 264,342-14,37.559177,126.934525,11410585
662,ST-4,서울특별시 마포구 월드컵로 72,475-54,37.555649,126.910629,11440660
663,ST-399,서울특별시 동대문구 왕산로 209,청량리역 3번출구 앞,37.581047,127.046135,11230705
664,ST-398,서울특별시 동대문구 천호대로 269,답십리역 1번출구,37.568184,127.051277,11230600
665,ST-397,서울특별시 동대문구 천호대로 145,동대문구 보건소,37.574852,127.040306,11230536
666,ST-396,서울특별시 동대문구 한천로 290,휘봉고등학교 앞,37.586815,127.067543,11230730
667,ST-395,서울특별시 동대문구 사가정로 240,장안동삼거리 교통섬,37.578632,127.071907,11230660
668,ST-394,서울특별시 동대문구 장한로6길 95,군자교녹지대 동측 앞,37.561153,127.070969,11230650
669,ST-393,서울특별시 동대문구 전농로 34,답십리초등학교 앞(현대시장 옆),37.568192,127.057175,11230610
670,ST-392,서울특별시 동대문구 서울시립대로 31,전농동 동아아파트 앞(T-World 앞 보도),37.574188,127.045891,11230560
671,ST-391,서울특별시 동대문구 서울시립대로 161,서울시립대 정문 앞(시더프라자빌딩 앞),37.583698,127.053856,11230560
672,ST-390,서울특별시 동대문구 사가정로 119,전농사거리 교통섬(전농서적 앞),37.577793,127.057831,11230570
673,ST-39,서울특별시 서대문구 연세로2다길 58,60-11,37.556812,126.943184,11410585
674,ST-389,서울특별시 동대문구 전농동 693-1,,37.57489,127.053535,11230560
675,ST-388,서울특별시 광진구 구천면로 2,광진청소년수련관,37.546547,127.106133,11215810
676,ST-387,서울특별시 광진구 아차산로 552,광나루역 3번 출구,37.54483,127.104263,11215810
677,ST-386,서울특별시 광진구 용마산로 120,중앙농협 중곡지점,37.564293,127.086937,11215770
